epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.25,f3,base_adam,0,adam,0.0,False
2,0.4772727272727273,f3,base_adam,0,adam,0.0,False
3,0.6363636363636364,f3,base_adam,0,adam,0.0,False
4,0.7045454545454546,f3,base_adam,0,adam,0.0,False
5,0.6944444444444444,f3,base_adam,0,adam,0.0,False
6,0.625,f3,base_adam,0,adam,0.0,False
7,0.7222222222222222,f3,base_adam,0,adam,0.0,False
8,0.7307692307692307,f3,base_adam,0,adam,0.0,False
9,0.8333333333333334,f3,base_adam,0,adam,0.0,False
10,0.6944444444444444,f3,base_adam,0,adam,0.0,False
11,0.90625,f3,base_adam,0,adam,0.0,False
12,0.8928571428571429,f3,base_adam,0,adam,0.0,False
13,0.9722222222222222,f3,base_adam,0,adam,0.0,False
14,0.9545454545454546,f3,base_adam,0,adam,0.0,False
15,0.9642857142857143,f3,base_adam,0,adam,0.0,False
16,0.9285714285714286,f3,base_adam,0,adam,0.0,False
17,0.96875,f3,base_adam,0,adam,0.0,False
18,0.9318181818181818,f3,base_adam,0,adam,0.0,False
19,0.875,f3,base_adam,0,adam,0.0,False
20,0.875,f3,base_adam,0,adam,0.0,False
21,0.9,f3,base_adam,0,adam,0.0,False
22,0.9375,f3,base_adam,0,adam,0.0,False
23,0.9,f3,base_adam,0,adam,0.0,False
24,0.9583333333333334,f3,base_adam,0,adam,0.0,False
25,0.95,f3,base_adam,0,adam,0.0,False
26,0.95,f3,base_adam,0,adam,0.0,False
27,0.9,f3,base_adam,0,adam,0.0,False
28,0.9583333333333334,f3,base_adam,0,adam,0.0,False
29,0.75,f3,base_adam,0,adam,0.0,False
30,0.85,f3,base_adam,0,adam,0.0,False
31,0.875,f3,base_adam,0,adam,0.0,False
32,0.9166666666666666,f3,base_adam,0,adam,0.0,False
33,0.95,f3,base_adam,0,adam,0.0,False
34,0.9375,f3,base_adam,0,adam,0.0,False
35,1.0,f3,base_adam,0,adam,0.0,False
36,0.9642857142857143,f3,base_adam,0,adam,0.0,False
37,0.9444444444444444,f3,base_adam,0,adam,0.0,False
38,0.9166666666666666,f3,base_adam,0,adam,0.0,False
39,0.875,f3,base_adam,0,adam,0.0,False
40,0.8333333333333334,f3,base_adam,0,adam,0.0,False
41,0.875,f3,base_adam,0,adam,0.0,False
42,0.875,f3,base_adam,0,adam,0.0,False
43,0.9,f3,base_adam,0,adam,0.0,False
44,0.8333333333333334,f3,base_adam,0,adam,0.0,False
45,0.8333333333333334,f3,base_adam,0,adam,0.0,False
46,0.8333333333333334,f3,base_adam,0,adam,0.0,False
47,0.875,f3,base_adam,0,adam,0.0,False
48,0.875,f3,base_adam,0,adam,0.0,False
49,0.75,f3,base_adam,0,adam,0.0,False
50,0.9375,f3,base_adam,0,adam,0.0,False
51,0.9,f3,base_adam,0,adam,0.0,False
52,0.9375,f3,base_adam,0,adam,0.0,False
53,0.9166666666666666,f3,base_adam,0,adam,0.0,False
54,0.9583333333333334,f3,base_adam,0,adam,0.0,False
55,0.875,f3,base_adam,0,adam,0.0,False
56,0.8333333333333334,f3,base_adam,0,adam,0.0,False
57,0.9375,f3,base_adam,0,adam,0.0,False
58,0.8333333333333334,f3,base_adam,0,adam,0.0,False
59,0.875,f3,base_adam,0,adam,0.0,False
60,0.9285714285714286,f3,base_adam,0,adam,0.0,False
61,0.9444444444444444,f3,base_adam,0,adam,0.0,False
62,0.9285714285714286,f3,base_adam,0,adam,0.0,False
63,0.875,f3,base_adam,0,adam,0.0,False
64,0.9444444444444444,f3,base_adam,0,adam,0.0,False
65,0.8928571428571429,f3,base_adam,0,adam,0.0,False
66,0.9166666666666666,f3,base_adam,0,adam,0.0,False
67,0.875,f3,base_adam,0,adam,0.0,False
68,0.9,f3,base_adam,0,adam,0.0,False
69,0.9583333333333334,f3,base_adam,0,adam,0.0,False
70,0.875,f3,base_adam,0,adam,0.0,False
71,0.875,f3,base_adam,0,adam,0.0,False
72,0.75,f3,base_adam,0,adam,0.0,False
73,0.75,f3,base_adam,0,adam,0.0,False
74,0.9,f3,base_adam,0,adam,0.0,False
75,0.875,f3,base_adam,0,adam,0.0,False
76,0.9166666666666666,f3,base_adam,0,adam,0.0,False
77,0.9,f3,base_adam,0,adam,0.0,False
78,0.8928571428571429,f3,base_adam,0,adam,0.0,False
79,0.85,f3,base_adam,0,adam,0.0,False
80,0.9166666666666666,f3,base_adam,0,adam,0.0,False
81,0.9,f3,base_adam,0,adam,0.0,False
82,0.875,f3,base_adam,0,adam,0.0,False
83,0.8125,f3,base_adam,0,adam,0.0,False
84,0.8125,f3,base_adam,0,adam,0.0,False
85,0.875,f3,base_adam,0,adam,0.0,False
86,0.9166666666666666,f3,base_adam,0,adam,0.0,False
87,0.8333333333333334,f3,base_adam,0,adam,0.0,False
88,0.8,f3,base_adam,0,adam,0.0,False
89,0.9166666666666666,f3,base_adam,0,adam,0.0,False
90,0.875,f3,base_adam,0,adam,0.0,False
91,0.9,f3,base_adam,0,adam,0.0,False
92,0.9166666666666666,f3,base_adam,0,adam,0.0,False
93,0.875,f3,base_adam,0,adam,0.0,False
94,0.8928571428571429,f3,base_adam,0,adam,0.0,False
95,0.8928571428571429,f3,base_adam,0,adam,0.0,False
96,0.9444444444444444,f3,base_adam,0,adam,0.0,False
97,0.9166666666666666,f3,base_adam,0,adam,0.0,False
98,0.9,f3,base_adam,0,adam,0.0,False
99,0.9,f3,base_adam,0,adam,0.0,False
100,0.9285714285714286,f3,base_adam,0,adam,0.0,False
