epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.3333333333333333,0.42668831168831167,f4,0.1_adam,0.1,adam,0.0,False,big
2,0.37777777777777777,0.4783549783549783,f4,0.1_adam,0.1,adam,0.0,False,big
3,0.5272727272727272,0.4964239926739926,f4,0.1_adam,0.1,adam,0.0,False,big
4,0.8166666666666667,0.6884126984126984,f4,0.1_adam,0.1,adam,0.0,False,big
5,0.9,0.8064285714285714,f4,0.1_adam,0.1,adam,0.0,False,big
6,0.9538461538461539,0.9196428571428572,f4,0.1_adam,0.1,adam,0.0,False,big
7,0.8,0.8579166666666667,f4,0.1_adam,0.1,adam,0.0,False,big
8,0.8,0.861904761904762,f4,0.1_adam,0.1,adam,0.0,False,big
9,0.8666666666666667,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
10,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
11,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
12,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
13,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
14,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
15,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
16,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
17,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
18,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
19,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
20,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
21,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
22,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
23,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
24,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
25,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
26,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
27,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
28,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
29,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
30,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
31,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
32,0.8,0.8664835164835165,f4,0.1_adam,0.1,adam,0.0,False,big
33,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
34,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
35,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
36,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
37,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
38,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
39,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
40,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
41,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
42,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
43,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
44,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
45,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
46,0.8,0.9196428571428572,f4,0.1_adam,0.1,adam,0.0,False,big
47,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
48,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
49,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
50,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
51,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
52,0.8,0.8664835164835165,f4,0.1_adam,0.1,adam,0.0,False,big
53,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
54,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
55,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
56,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
57,0.8,0.861904761904762,f4,0.1_adam,0.1,adam,0.0,False,big
58,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
59,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
60,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
61,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
62,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
63,0.8,0.8717948717948718,f4,0.1_adam,0.1,adam,0.0,False,big
64,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
65,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
66,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
67,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
68,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
69,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
70,0.8,0.9196428571428572,f4,0.1_adam,0.1,adam,0.0,False,big
71,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
72,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
73,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
74,0.8,0.878030303030303,f4,0.1_adam,0.1,adam,0.0,False,big
75,0.8,0.9196428571428572,f4,0.1_adam,0.1,adam,0.0,False,big
76,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
77,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
78,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
79,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
80,0.8,0.8854545454545455,f4,0.1_adam,0.1,adam,0.0,False,big
81,0.8,0.8944444444444445,f4,0.1_adam,0.1,adam,0.0,False,big
82,0.8,0.9055555555555556,f4,0.1_adam,0.1,adam,0.0,False,big
