epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.0,f2,0.5_sgd_dp,0.5,sgd,0.2,False
2,0.0,f2,0.5_sgd_dp,0.5,sgd,0.2,False
3,0.0,f2,0.5_sgd_dp,0.5,sgd,0.2,False
4,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
5,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
6,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
7,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
8,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
9,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
10,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
11,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
12,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
13,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
14,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
15,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
16,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
17,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
18,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
19,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
20,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
21,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
22,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
23,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
24,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
25,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
26,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
27,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
28,0.125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
29,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
30,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
31,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
32,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
33,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
34,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
35,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
36,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
37,0.16666666666666666,f2,0.5_sgd_dp,0.5,sgd,0.2,False
38,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
39,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
40,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
41,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
42,0.25,f2,0.5_sgd_dp,0.5,sgd,0.2,False
43,0.35,f2,0.5_sgd_dp,0.5,sgd,0.2,False
44,0.3125,f2,0.5_sgd_dp,0.5,sgd,0.2,False
45,0.35,f2,0.5_sgd_dp,0.5,sgd,0.2,False
46,0.35,f2,0.5_sgd_dp,0.5,sgd,0.2,False
47,0.375,f2,0.5_sgd_dp,0.5,sgd,0.2,False
48,0.35,f2,0.5_sgd_dp,0.5,sgd,0.2,False
49,0.375,f2,0.5_sgd_dp,0.5,sgd,0.2,False
50,0.4166666666666667,f2,0.5_sgd_dp,0.5,sgd,0.2,False
51,0.4166666666666667,f2,0.5_sgd_dp,0.5,sgd,0.2,False
52,0.4,f2,0.5_sgd_dp,0.5,sgd,0.2,False
53,0.4,f2,0.5_sgd_dp,0.5,sgd,0.2,False
54,0.4166666666666667,f2,0.5_sgd_dp,0.5,sgd,0.2,False
